gene_name	beta	se	p_wald	chr	start	end
FBXO44	-0.01194784	0.05449629	0.8265429	1	11714432	11723384
FBXO6	0.01606792	0.02484438	0.5180662	1	11724181	11734411
MAD2L2	-0.01615826	0.03108966	0.6034587	1	11734538	11751707
C1orf187	0.007542084	0.008003964	0.3464531	1	11751786	11785914
AGTRAP	0.01171151	0.01845625	0.5259806	1	11796141	11814859
MTHFR	0.0002342738	0.02476261	0.9924549	1	11845780	11866977
CLCN6	-0.06771516	0.04778783	0.1570462	1	11866207	11903201
KIAA2013	-0.0302135	0.04619574	0.5133625	1	11979648	11986485
PLOD1	-0.01301613	0.02647315	0.6231454	1	11994262	12035599
MFN2	0.03777826	0.05308394	0.4769685	1	12040238	12073571
MIIP	-0.02168744	0.02931266	0.4596947	1	12079523	12092102
TNFRSF1B	0.0119797	0.01416091	0.3979349	1	12227060	12269285
VPS13D	-0.004011956	0.03271912	0.902454	1	12290124	12572099
DHRS3	0.002989362	0.02019876	0.8823988	1	12627939	12677737
PDPN	-0.02679683	0.01159648	0.02121174	1	13909960	13944452
PRDM2	-0.002646491	0.04139517	0.9490471	1	14026693	14151560
KAZN	0.03951152	0.03191156	0.2161823	1	14925200	15444539
TMEM51	-0.01081898	0.01694517	0.5234317	1	15479028	15546974
EFHD2	0.00575094	0.02772738	0.8357658	1	15736391	15756839
CASP9	0.03009827	0.03116914	0.334644	1	15817327	15853029
DNAJC16	-0.001302755	0.0389599	0.9733371	1	15853308	15918874
AGMAT	-0.01711477	0.01254056	0.1728848	1	15898848	15911605
DDI2	0.05102887	0.03385754	0.1323385	1	15943995	15995539
PLEKHM2	-0.02016785	0.02392894	0.3996914	1	16010827	16061264
RP11-288I21.1	-0.01664339	0.01353112	0.2192161	1	16049214	16063391
SLC25A34	-0.002484106	0.01160811	0.8306278	1	16062900	16067891
FBLIM1	0.005569778	0.0100423	0.5793703	1	16083102	16113089
RP11-169K16.7	-0.002138106	0.01124813	0.8493117	1	16133679	16134194
RP11-169K16.9	0.001844178	0.02033258	0.9277632	1	16160560	16174642
SPEN	0.02407988	0.04252644	0.5714646	1	16174359	16266955
ZBTB17	0.0004605644	0.04470408	0.9917836	1	16268364	16302627
C1orf64	-0.00339086	0.01075525	0.7526717	1	16330731	16335302
HSPB7	-0.01575044	0.007879596	0.04610844	1	16340523	16346089
FAM131C	-0.004687241	0.0156339	0.7644325	1	16384264	16400127
EPHA2	0.01058469	0.01059168	0.3180667	1	16450832	16482582
ARHGEF19	0.0009803281	0.008658185	0.9098927	1	16524349	16539140
RSG1	-0.001421778	0.02039679	0.9444528	1	16555170	16563495
FBXO42	-0.02764143	0.03537393	0.4348971	1	16573334	16678949
C1orf144	-0.003153997	0.04081765	0.9384363	1	16679070	16724640
NECAP2	-0.02317303	0.0350441	0.5087248	1	16767167	16786573
RP4-798A10.2	0.004989456	0.02097662	0.8120792	1	16787443	16794976
CROCCP3	-0.03707786	0.0319703	0.2466463	1	16793931	16819196
NBPF1	-0.0143773	0.01000734	0.1513745	1	16888818	16940083
CROCCP2	0.005649992	0.01171208	0.6297073	1	16944751	16971178
MST1P2	0.004331284	0.007984217	0.5877055	1	16972069	16976914
CROCC	-0.009162717	0.02305313	0.6911807	1	17222232	17299459
ATP13A2	-0.008960736	0.04246542	0.8329551	1	17312453	17338423
SDHB	0.0122381	0.04292802	0.7756862	1	17345217	17380665
PADI2	-0.03273795	0.0148271	0.02765444	1	17393256	17445948
RCC2	0.006129184	0.03038742	0.8402242	1	17733256	17766220
ARHGEF10L	-0.05481962	0.03341198	0.1014237	1	17866330	18024369
IGSF21	0.04349607	0.02729938	0.1116635	1	18434240	18704977
PAX7	0.00460054	0.009940703	0.6436907	1	18957500	19075360
ALDH4A1	-0.02265464	0.01540182	0.1418842	1	19197926	19229275
IFFO2	-0.03384056	0.02779832	0.2239857	1	19230774	19283180
UBR4	-0.08969037	0.04043208	0.02693923	1	19401000	19536770
KIAA0090	-0.04681745	0.04353576	0.2826731	1	19542158	19578046
MRTO4	0.01268517	0.02607844	0.6268592	1	19578033	19586622
AKR7L	0.006593622	0.01429972	0.6449067	1	19592478	19600688
AKR7A3	-0.0168388	0.01497914	0.2614364	1	19609052	19615744
AKR7A2	0.01882835	0.03227644	0.5598974	1	19630459	19638640
PQLC2	-0.02130137	0.03138225	0.4975663	1	19638820	19655794
CAPZB	0.07813677	0.05473076	0.1539539	1	19665267	19812066
MINOS1	0.009706886	0.02707077	0.7200501	1	19923477	19956314
NBL1	0.001656748	0.02136392	0.9382149	1	19967048	19984945
TMCO4	0.01193931	0.01601153	0.4561833	1	20008706	20126438
OTUD3	-0.005597384	0.01568836	0.7213881	1	20209006	20239438
PLA2G5	-0.003238297	0.009570606	0.7352211	1	20354672	20417683
UBXN10	0.01459607	0.01617254	0.3671717	1	20512578	20522541
RP4-749H3.1	0.00458719	0.009726515	0.6373858	1	20687072	20757727
CAMK2N1	-0.01520975	0.03051829	0.6184131	1	20808884	20812713
MUL1	-0.005757757	0.02690425	0.8306186	1	20825943	20834654
FAM43B	0.005743771	0.01723013	0.7389916	1	20878932	20881512
CDA	0.003294853	0.006938081	0.6350497	1	20915441	20945401
PINK1	0.02752902	0.02427492	0.2572631	1	20959948	20978004
PINK1-AS	0.02247594	0.01427506	0.1159451	1	20969150	20978686
DDOST	0.07062525	0.03887821	0.06982221	1	20978270	20988000
KIF17	-0.01298056	0.01999945	0.5165777	1	20990507	21044510
SH2D5	-0.004111921	0.02529666	0.8709336	1	21046225	21059330
HP1BP3	-0.07057983	0.04951932	0.154634	1	21069154	21113816
EIF4G3	0.09553656	0.05438502	0.07952645	1	21132972	21503377
ECE1	-0.0672973	0.03247942	0.03872772	1	21543740	21671997
NBPF3	-0.006534424	0.007133112	0.3600291	1	21766621	21811498
ALPL	0.01180705	0.01026853	0.2507106	1	21835858	21904905
RAP1GAP	-0.03083595	0.03516974	0.3809889	1	21922708	21995856
USP48	0.03813292	0.05008629	0.4467753	1	22004791	22110099
HSPG2	0.01813399	0.01107907	0.1022445	1	22148738	22263790
LINC00339	0.004806238	0.01407597	0.7328943	1	22351681	22357716
CDC42	-0.05219272	0.05359448	0.3305584	1	22379120	22419437
ZBTB40	0.02178647	0.02659173	0.4129705	1	22778344	22857650
EPHA8	-0.02215726	0.01026216	0.03126924	1	22890057	22930087
C1QA	9.320137e-07	0.01003346	0.9999259	1	22962999	22966175
C1QC	0.002925343	0.009901225	0.7677588	1	22970123	22974603
C1QB	-0.004919695	0.009355056	0.5991777	1	22979255	22988031
EPHB2	-0.002631594	0.02690343	0.9221135	1	23037332	23241818
KDM1A	-0.05226774	0.04779603	0.2746241	1	23345941	23410182
LUZP1	0.02254067	0.03784069	0.551637	1	23410516	23504301
RP5-1057J7.6	0.01363063	0.01936074	0.4817071	1	23607802	23613245
HNRNPR	0.03888514	0.05039761	0.4406998	1	23630264	23670829
ZNF436	-0.02568612	0.02228676	0.2496011	1	23685941	23695935
C1orf213	0.003216118	0.02030752	0.8742223	1	23695490	23698332
TCEA3	-0.01768846	0.01054019	0.09387362	1	23707554	23751233
ASAP3	-0.005169399	0.02186379	0.8131813	1	23750352	23810750
ID3	0.004610951	0.01118671	0.680366	1	23884409	23886285
RPL11	0.01821338	0.04372863	0.6771987	1	24018269	24022915
TCEB3	0.06129545	0.03918039	0.1182848	1	24069645	24088549
PITHD1	0.00453983	0.05096842	0.9290573	1	24104895	24114722
LYPLA2	0.04756939	0.0394774	0.2287264	1	24117460	24122029
GALE	-0.004276529	0.03319687	0.8975442	1	24122089	24127271
HMGCL	0.02462894	0.0282067	0.3829545	1	24128375	24165110
FUCA1	0.002688725	0.02574587	0.9168633	1	24171567	24194784
PNRC2	0.06842684	0.03788673	0.07144693	1	24285599	24289952
SRSF10	-0.003815326	0.04063817	0.9252342	1	24291294	24307417
IL28RA	-0.008294694	0.01090742	0.447301	1	24480647	24514449
C1orf201	-0.004495356	0.02875133	0.8758118	1	24683489	24743424
NIPAL3	0.1195557	0.04006197	0.002967935	1	24742284	24799466
RCAN3	0.009366697	0.0153589	0.542208	1	24829387	24863506
SRRM1	-0.03421485	0.04210244	0.4167636	1	24958207	24999758
CLIC4	0.01836173	0.02175268	0.3989704	1	25071848	25170815
RUNX3	-0.007442077	0.008400334	0.3760416	1	25226002	25291612
SYF2	3.342006e-05	0.04284588	0.9993779	1	25549170	25558993
C1orf63	-0.00212116	0.02595654	0.9348991	1	25568728	25664704
RHD	-0.0003597263	0.001791382	0.8409213	1	25598884	25656936
TMEM50A	-0.005054029	0.0370134	0.8914393	1	25664408	25688852
TMEM57	-0.004788341	0.04402548	0.9134299	1	25757388	25826700
LDLRAP1	-0.008442467	0.01540432	0.5838724	1	25870071	25895377
MAN1C1	-0.002258186	0.03203146	0.9438219	1	25943959	26112698
SEPN1	-0.003425323	0.03415948	0.9201627	1	26126667	26144713
FAM54B	-0.006284875	0.04881468	0.8976025	1	26145131	26159432
C1orf135	0.01418948	0.01362837	0.2982497	1	26158414	26185903
PAQR7	0.002948295	0.02737887	0.9142845	1	26187701	26197744
STMN1	-0.01980038	0.03563454	0.5786736	1	26210672	26233482
PAFAH2	0.02364722	0.02393674	0.3236306	1	26286258	26324648
EXTL1	0.005025674	0.0287859	0.8614671	1	26346375	26362955
PDIK1L	0.00835757	0.02746654	0.7610274	1	26437664	26452034
FAM110D	0.002310333	0.007944478	0.7713055	1	26485511	26489119
CNKSR1	-0.009622735	0.009602243	0.3167164	1	26503894	26516377
RP11-231P20.2	0.01393246	0.01332969	0.2963772	1	26536232	26556331
CEP85	0.01237934	0.02594432	0.6334431	1	26560691	26605299
SH3BGRL3	0.01392073	0.02880941	0.6291441	1	26605667	26608007
UBXN11	-0.05839197	0.02934408	0.04709238	1	26607819	26644854
DHDDS	-0.0157375	0.03860081	0.6836523	1	26758773	26797785
HMGN2	0.04471767	0.0258803	0.08456963	1	26798941	26802463
RPS6KA1	-0.01654281	0.02373509	0.4861095	1	26856252	26901521
ARID1A	-0.005871438	0.04947728	0.9055803	1	27022524	27108595
PIGV	-0.01265413	0.02517452	0.6154058	1	27113963	27124889
ZDHHC18	0.01521394	0.03594502	0.6722728	1	27153201	27183391
GPN2	-0.03515088	0.04108914	0.3926561	1	27205773	27216788
GPATCH3	-0.01090137	0.0310799	0.7259069	1	27216979	27226962
NUDC	-0.02047296	0.03712949	0.5815863	1	27226729	27273353
TRNP1	0.02413631	0.02848408	0.3971597	1	27320198	27327147
SLC9A1	-0.01873494	0.03906282	0.6316937	1	27425306	27493472
WDTC1	0.06075858	0.04754705	0.2018332	1	27561007	27635110
TMEM222	-0.01002556	0.04174349	0.8102868	1	27648651	27662891
SYTL1	-0.03437459	0.01258111	0.006491311	1	27668513	27680421
MAP3K6	-0.01070693	0.02000753	0.5927644	1	27681670	27693383
GPR3	-3.48248e-05	0.009084799	0.9969429	1	27719148	27722318
WASF2	0.02358509	0.03345003	0.4810542	1	27730730	27816669
AHDC1	-0.04492973	0.03578695	0.2098345	1	27860546	27930942
FGR	0.006472565	0.01230978	0.5992328	1	27938575	27961788
IFI6	-0.006386596	0.008092574	0.4303373	1	27992572	27998729
FAM76A	-0.04997138	0.02909012	0.08638949	1	28052490	28088475
STX12	0.01001412	0.04945312	0.8396024	1	28099694	28150963
PPP1R8	-0.05781713	0.03806776	0.1293845	1	28157289	28178187
C1orf38	0.005779456	0.01366752	0.672561	1	28199055	28213196
RPA2	-0.03582092	0.01876581	0.05679917	1	28218035	28241257
XKR8	-0.0038808	0.02312494	0.866787	1	28285973	28294607
EYA3	0.02506147	0.03355348	0.4554341	1	28296855	28415207
PTAFR	-0.008011773	0.01132073	0.479424	1	28473677	28520447
DNAJC8	0.02585007	0.05561154	0.6422338	1	28527068	28559536
ATPIF1	-0.02189043	0.03557541	0.5385931	1	28562620	28573417
SESN2	0.03178178	0.02104262	0.1315236	1	28586038	28609002
MED18	0.05401751	0.02309755	0.01970724	1	28655513	28662476
PHACTR4	-0.01524881	0.02655834	0.5660906	1	28696114	28826881
RCC1	0.002671693	0.01829109	0.883923	1	28832455	28865708
SNHG3	0.01925002	0.02333154	0.4096902	1	28832492	28837404
TRNAU1AP	0.06818164	0.03458853	0.04919582	1	28879597	28905051
SNHG12	-0.02703087	0.02319562	0.2443815	1	28905050	28909495
TAF12	0.05756124	0.03118756	0.06547679	1	28915835	28969597
GMEB1	0.01248549	0.03121173	0.689292	1	28995244	29045865
YTHDF2	0.03130897	0.04803577	0.5148106	1	29063133	29096287
OPRD1	-0.01532229	0.02263712	0.4987737	1	29138654	29190208
EPB41	0.01700805	0.02558588	0.5064912	1	29213603	29446553
SRSF4	-0.02072752	0.05181522	0.6892904	1	29474255	29508499
MECR	0.002307755	0.03235499	0.943164	1	29519385	29557454
PTPRU	-0.01296986	0.02372155	0.5847677	1	29563028	29653325
LAPTM5	0.0001664699	0.01544799	0.9914059	1	31205316	31230667
SDC3	-0.01601437	0.02975531	0.5906538	1	31342314	31381608
PUM1	0.08907299	0.05538932	0.1083774	1	31404353	31538838
NKAIN1	0.005017048	0.009598329	0.6013919	1	31652592	31712401
SNRNP40	0.04379952	0.03443277	0.203896	1	31732417	31769662
ZCCHC17	0.05930259	0.03902878	0.1292177	1	31769842	31837783
FABP3	-0.02898575	0.02150516	0.1782572	1	31838472	31849697
TINAGL1	0.01597089	0.01275785	0.2111535	1	32042116	32053288
PEF1	0.01130109	0.04353736	0.7952901	1	32095463	32110497
RP11-73M7.6	-0.01312039	0.01117859	0.2410167	1	32121710	32125539
COL16A1	0.001475668	0.01400334	0.9161127	1	32117848	32169920
BAI2	0.02538972	0.04061661	0.5321582	1	32192718	32230494
PTP4A2	-0.05335548	0.03281217	0.1044995	1	32372022	32410457
KHDRBS1	0.01155308	0.04047623	0.7754224	1	32479430	32526451
TMEM39B	-0.03546304	0.03487703	0.3096913	1	32537632	32568467
KPNA6	0.03008891	0.04511957	0.5051324	1	32573639	32642169
TXLNA	-0.01258302	0.04659897	0.7872394	1	32645287	32663886
CCDC28B	0.01608155	0.02680584	0.5488002	1	32665987	32670988
IQCC	0.03263927	0.02053615	0.1125504	1	32671236	32674288
TMEM234	-0.01850569	0.02231664	0.4073297	1	32680073	32687972
EIF3I	0.05540049	0.05211988	0.2882707	1	32687529	32697205
MTMR9LP	0.01946024	0.01900541	0.3063144	1	32697259	32707221
HDAC1	0.02398345	0.03389978	0.4795652	1	32757687	32799236
MARCKSL1	0.05228492	0.03248228	0.1080451	1	32799433	32801980
RP4-811H24.6	-0.008837637	0.019053	0.6429411	1	32826871	32829879
BSDC1	-0.08364735	0.05118155	0.1027584	1	32830704	32860332
ZBTB8A	0.02866597	0.02383833	0.2296774	1	33005028	33066591
ZBTB8OS	-0.009897743	0.0399465	0.8044003	1	33065773	33116504
RBBP4	-0.03549335	0.05669958	0.5315795	1	33116743	33146258
SYNC	-0.01755973	0.01130646	0.1209772	1	33145507	33169197
KIAA1522	0.01291882	0.03162387	0.6830537	1	33207486	33240571
YARS	-0.04522244	0.03584714	0.2076469	1	33240840	33283754
S100PBP	-0.0118712	0.03379301	0.7255031	1	33282368	33324476
FNDC5	0.004515548	0.0252171	0.8579506	1	33327869	33338083
HPCA	-0.00594782	0.02392324	0.8037461	1	33351595	33364042
TMEM54	0.03498138	0.02194855	0.1115533	1	33360195	33367039
RNF19B	0.01469205	0.02211926	0.506826	1	33402046	33430286
AK2	-0.08466441	0.04350373	0.05214299	1	33473585	33546597
ADC	-0.0007964711	0.03061368	0.9792533	1	33546705	33586131
TRIM62	0.00221326	0.02523323	0.9301372	1	33611003	33647671
ZNF362	-0.05463624	0.04706464	0.246192	1	33722146	33766320
RP11-415J8.3	-0.01273592	0.01442493	0.3776679	1	33780296	33791644
PHC2	0.06070773	0.04260787	0.1547778	1	33789224	33896653
ZSCAN20	-0.01396774	0.01442446	0.3332986	1	33938232	33961995
CSMD2	-0.006824432	0.02654304	0.7971907	1	33979609	34631443
C1orf212	-0.007216769	0.03348937	0.8294613	1	35178338	35325417
GJA4	0.007235042	0.008142992	0.3746579	1	35258599	35261348
DLGAP3	0.01035658	0.02917502	0.7227388	1	35331037	35395186
RP11-244H3.1	0.02553992	0.01665648	0.1257649	1	35439957	35450914
ZMYM6	-0.01289823	0.03326938	0.6983939	1	35447134	35497569
ZMYM1	-0.002349492	0.01925303	0.9029177	1	35525387	35581460
SFPQ	0.006379096	0.04013829	0.8737836	1	35641979	35658749
ZMYM4	0.06319567	0.04929165	0.200352	1	35734568	35887659
